Bouquets, Product Name ,Design,Lenght/ cm,Bouquet Lenght / inches,Box type,units / Box,Stems / Bouquet,Price by,DSD Fedex,DSD Fedex HIGH SEASON
Gingers,Ginger Plus Red,,90,35.7,QB-P9,24,3,Price by stem,$3.90,$4.36
Gingers,Ginger Plus Red,,75,29.8,1/8C-P6,20,2,Price by stem,$3.68,$4.08
Gingers,Torch Ginger Red,,70,27.8,QB-P8,20,1,Price by stem,$4.47,$4.98
Gingers,Torch Ginger Red,,70,27.8,1/8,10,1,Price by stem,$4.59,$4.95
Gingers,Torch Ginger Pink,,70,27.8,QB-P8,20,1,Price by stem,$4.71,$5.26
Gingers,Torch Ginger Pink,,70,27.8,1/8,10,1,Price by stem,$4.83,$5.23
Gingers,Ginger Red Large,(16 Head Size + 74 stem Size),90,35.7,HB,50,5,Price by stem,$2.57,$2.89
Gingers,Ginger Red Large,(16 Head Size + 74 stem Size),90,35.7,QB,30,5,Price by stem,$2.49,$2.75
Gingers,Ginger Red Medium,(13 Head Size + 62 stem Size),75,29.8,HB,80,5,Price by stem,$1.77,$2.00
Gingers,Ginger Red Medium,(13 Head Size + 62 stem Size),75,29.8,QB,40,5,Price by stem,$1.93,$2.14
Gingers,Ginger Red Medium,(13 Head Size + 62 stem Size),75,29.8,1/8C,20,5,Price by stem,$2.73,$2.98
Gingers,Ginger Red Small,(10 Head Size + 50 stem Size),60,23.8,HB,100,5,Price by stem,$1.48,$1.68
Gingers,Ginger Red Small,(10 Head Size + 50 stem Size),60,23.8,QB,60,5,Price by stem,$1.43,$1.60
Gingers,Ginger Red Small,(10 Head Size + 50 stem Size),60,23.8,1/8C,30,5,Price by stem,$1.97,$2.17
Gingers,Ginger Red Petite,(8 Head Size + 42 stem Size),50,19.9,HB,200,5,Price by stem,$1.03,$1.17
Gingers,Ginger Red Petite,(8 Head Size + 42 stem Size),50,19.9,QB,100,5,Price by stem,$1.10,$1.23
Gingers,Ginger Red Petite,(8 Head Size + 42 stem Size),50,19.9,1/8C,50,5,Price by stem,$1.42,$1.57
Gingers,Ginger Pink Large,(16 Head Size + 74 stem Size),90,35.7,HB,50,5,Price by stem,$3.00,$3.38
Gingers,Ginger Pink Large,(16 Head Size + 74 stem Size),90,35.7,QB,30,5,Price by stem,$2.92,$3.24
Gingers,Ginger Pink Medium,(13 Head Size + 62 stem Size),75,29.8,HB,80,5,Price by stem,$2.25,$2.55
Gingers,Ginger Pink Medium,(13 Head Size + 62 stem Size),75,29.8,QB,40,5,Price by stem,$2.41,$2.69
Gingers,Ginger Pink Medium,(13 Head Size + 62 stem Size),75,29.8,1/8C,20,5,Price by stem,$3.21,$3.53
Gingers,Ginger White Large,(16 Head Size + 74 stem Size),90,35.7,HB,50,5,Price by stem,$2.55,$2.87
Gingers,Ginger White Large,(16 Head Size + 74 stem Size),90,35.7,QB,30,5,Price by stem,$2.47,$2.73
Gingers,Ginger White Medium,(13 Head Size + 62 stem Size),75,29.8,QB,40,5,Price by stem,$2.04,$2.27
Gingers,Ginger White Medium,(13 Head Size + 62 stem Size),75,29.8,1/8C,20,5,Price by stem,$2.84,$3.11
Gingers,Ginger White Small,(10 Head Size + 50 stem Size),60,23.8,QB,60,5,Price by stem,$1.61,$1.81
Gingers,Ginger White Small,(10 Head Size + 50 stem Size),60,23.8,1/8C,30,5,Price by stem,$2.15,$2.38
Gingers,Ginger White Petite with leaves,(8 Head Size + 42 stem Size),60,23.8,BB,80,5,Price by stem,$1.44,$1.62
Gingers,Ginger White Petite with leaves,(8 Head Size + 42 stem Size),60,23.8,1/8C,50,5,Price by stem,$1.55,$1.72
Gingers-Seasonal,Shampoo Ginger Yellow,Shampoo seasonal (Oct-April),50,19.9,HB-P15,60,1,Price by stem,$3.23,$3.66
Gingers-Seasonal,Shampoo Ginger Yellow,Shampoo seasonal (Oct-April),50,19.9,QB-P7,30,1,Price by stem,$3.28,$3.66
Gingers-Seasonal,Shampoo Ginger Yellow,Shampoo seasonal (Oct-April),50,19.9,1/8C,16,1,Price by stem,$4.01,$4.41
Gingers-Seasonal,Shampoo Ginger Red,Shampoo seasonal (Oct-April),50,19.9,HB-P15,60,1,Price by stem,$3.23,$3.66
Gingers-Seasonal,Shampoo Ginger Red,Shampoo seasonal (Oct-April),50,19.9,QB-P7,30,1,Price by stem,$3.28,$3.66
Gingers-Seasonal,Shampoo Ginger Red,Shampoo seasonal (Oct-April),50,19.9,1/8C,16,1,Price by stem,$4.01,$4.41
Gingers-Seasonal,Shampoo Ginger Peach,Shampoo seasonal (Oct-April),50,19.9,HB-P15,60,1,Price by stem,$3.23,$3.66
Gingers-Seasonal,Shampoo Ginger Peach,Shampoo seasonal (Oct-April),50,19.9,QB-P7,30,1,Price by stem,$3.28,$3.66
Gingers-Seasonal,Shampoo Ginger Peach,Shampoo seasonal (Oct-April),50,19.9,1/8C,16,1,Price by stem,$4.01,$4.41
Gingers-Seasonal,Shampoo Ginger Pink,Shampoo seasonal (Oct-April),50,19.9,HB-P15,60,1,Price by stem,$3.23,$3.66
Gingers-Seasonal,Shampoo Ginger Pink,Shampoo seasonal (Oct-April),50,19.9,QB-P7,30,1,Price by stem,$3.28,$3.66
Gingers-Seasonal,Shampoo Ginger Pink,Shampoo seasonal (Oct-April),50,19.9,1/8C,16,1,Price by stem,$4.01,$4.41
Gingers-Seasonal,Shampoo Ginger Green,Shampoo seasonal (Oct-April),50,19.9,HB-P15,60,1,Price by stem,$3.23,$3.66
Gingers-Seasonal,Shampoo Ginger Green,Shampoo seasonal (Oct-April),50,19.9,QB-P7,30,1,Price by stem,$3.28,$3.66
Gingers-Seasonal,Shampoo Ginger Green,Shampoo seasonal (Oct-April),50,19.9,1/8C,16,1,Price by stem,$4.01,$4.41
Gingers-Seasonal,Shampoo Ginger Brown,Shampoo seasonal (Oct-April),50,19.9,HB-P15,60,1,Price by stem,$3.23,$3.66
Gingers-Seasonal,Shampoo Ginger Brown,Shampoo seasonal (Oct-April),50,19.9,QB-P7,30,1,Price by stem,$3.28,$3.66
Gingers-Seasonal,Shampoo Ginger Brown,Shampoo seasonal (Oct-April),50,19.9,1/8C,16,1,Price by stem,$4.01,$4.41
