Branch - GS,Stem Type,VARIETY - GS,PRICE/UNIT - GS,PRICE/UNIT $,Last Updated (Run Date),,,49,,,,,,,,,,,
Chandler,Orlaya,Orlaya White,$1.50,,2026-01-15 10:02:59,,,Carnation Hanoi Blush,,,,,,,$0.59,,,,$0.59
Chandler,Spray Rose,Spray Rose Snowflake White,$1.50,,2026-02-05 8:31:27,,,Carnation Lege Marrone Beige,,,,,,,$0.59,,,,$0.59
Chandler,Spray Rose,Spray Rose Snowflake White,$1.50,,2026-02-05 9:59:00,,,Carnation Lege Marrone Beige Fancy,,,,,,,,$0.59,,,$0.59
Chandler,Thistle,Eryngium Magical Blue Lagoon Blue,$1.65,,2026-02-05 9:59:00,,,Carnation Lizzy Peach Fancy,,,,,,,$0.59,,,,$0.59
Chandler,Tulip,Tulip White,$1.95,,2025-12-10 9:38:51,,,Carnation Minerva Purple/White Fancy,,,,,,,$0.59,,,,$0.59
Cleveland,Eucalyptus,Eucalyptus Silver Dollar Green,$1.25,,2026-01-05 21:15:05,,,Carnation Nobbio Burgundy Fancy,,,,,,,#NUM!,,,,#NUM!
Cleveland,Gypsophila,Gypsophila Xlence White,$0.99,,2025-12-29 10:50:28,,,Carnation White,,,,,,,$0.59,,,,$0.59
Cleveland,Ranunculus,Ranunculus Clooney Pink,$5.95,,2025-12-29 10:50:28,,,Cedar Port Orford Green,,,,,,,$1.24,,,,$1.24
Cleveland,Ranunculus,Ranunculus White,$2.10,,2025-12-29 10:50:28,,,Chamomile Daisy White,,$1.85,,,,,$1.85,,,,$1.85
Cleveland,Rose,Rose Playa Blanca White,$2.15,,2026-01-05 21:15:05,,,China Mum Bronze,,,,,,,$1.50,,,,$1.50
Cleveland,Rose,Rose Tibet White,$1.60,,2026-01-05 21:15:05,,,China Mum White Select,,,,,,,$1.75,,,,$1.75
Cleveland,Rose - Garden,Rose Garden Keira Blush,$3.65,,2026-01-05 21:15:05,,,Chrysanthemum Disbud Andrea Purple,,,,,,,$1.50,,,,$1.50
Cleveland,Rose - Spray,Spray Rose Floreana White,$1.55,,2025-12-29 10:50:28,,,Chrysanthemum Disbud Ball Red,,,,,,,$1.50,,,,$1.50
Cleveland,Stock,Stock White Select,$1.30,,2026-01-05 21:15:05,,,Chrysanthemum Disbud Ball White,,,,,,,,,,$1.75,$1.75
LAX,Calla - Mini,Calla Lily Mini White,$2.25,,2025-12-15 17:41:10,,,Chrysanthemum Disbud Cooper,,,,,,,$1.50,,,,$1.50
LAX,Greenery,Cypress Carolina Sapphire Green,$0.55,,2025-12-15 17:41:10,,,Chrysanthemum Disbud Cooper Bronze,,,,,,,$1.50,$1.10,,,$1.30
LAX,Greenery,Douglas Fir Boughs Green,$0.55,,2025-12-15 17:41:10,,,Chrysanthemum Disbud Linette,,,,,,,$1.50,,,,$1.50
LAX,Greenery,Leyland Cypress Variegated,$0.55,,2025-12-15 17:41:10,,,Chrysanthemum Disbud Linette Peach,,,,,,,$1.50,,,,$1.50
LAX,Greenery,Ruscus Italian Green,$1.35,,2025-12-15 17:41:10,,,Chrysanthemum Disbud Maisy White,,,,,,,,,,$1.50,$1.50
LAX,Hydrangea,Hydrangea White Medium,$2.25,,2025-12-15 17:41:10,,,Chrysanthemum Disbud White,,,,,,,$1.50,,,,$1.50
Miami,Acacia,Acacia Blooming Yellow,$1.50,,2025-12-26 11:06:54,,,Cymbidium Mini Red,,,,,,,$18.95,,,,$18.95
Miami,Acacia,Acacia Foliage Pearl Silver,$1.35,,2026-01-19 13:36:52,,,Cypress Carolina Sapphire Green,,,,,,$0.55,$1.15,,,,$0.85
Miami,Allium,Allium Japan Snake Ball Green,$5.95,,2026-02-11 11:49:46,,,Delphinium Belladonna Dark Blue,,,,,,,$1.85,,,,$1.85
Miami,Amaranthus,Amaranthus Hanging Green,$2.25,$1.85,2026-02-17 13:15:16,,,Delphinium Belladonna Light Blue,,,,,,,$1.85,,$1.60,,$1.85
Miami,Amaranthus,Amaranthus Hanging Red,$2.25,$1.85,2026-01-14 12:40:38,,,Delphinium Belladonna White,$1.90,,#NUM!,,,,$1.85,,,,$1.88
Miami,Anemone,Anemone Mistral Blush,$2.25,,2025-12-26 11:07:37,,,Delphinium Sea Waltz Dark Blue 70cm,,,,,,,$1.85,,,,$1.85
Miami,Anthurium,Anthurium Burgundy Medium,$12.50,,2025-11-25 13:54:10,,,Delphinium Sea Waltz White,,,,,,,$1.85,,,,$1.85
Miami,Aspidistra,Aspidistra Green,$0.75,,2025-11-11 13:53:15,,,Delphinium Sky Waltz Light Blue 70cm,$1.90,,,,,,$1.85,,,,$1.88
Miami,Aster,Aster Montecasino White,$0.85,,2025-11-18 12:48:25,,,Dendrobium Singapore Mokara Red,,,,,,,#NUM!,,,,#NUM!
Miami,Astilbe,Astilbe Burgundy,$2.03,$2.25,2025-12-23 9:36:50,,,Dianthus Solomio White,$1.20,,,,,,,,,,$1.20
Miami,Astrantia,Astrantia Burgundy,$1.75,$2.05,2025-12-23 9:14:40,,,Douglas Fir Boughs Green,,,,,,$0.55,,,,,$0.55
Miami,Astrantia,Astrantia White,$1.95,$1.75,2025-12-02 13:16:08,,,Dusty Miller Silver,,,,,,,$1.35,,,,$1.35
Miami,Baby's Breath,Garland Gypsophila Xlence White 5',$7.22,,2026-01-13 10:33:47,,,Eryngium Blue,,,,,,,$1.50,,,,$1.50
Miami,Baby's Breath,Gypsophila Xlence White,$0.83,,2026-01-06 12:29:04,,,Eryngium Magical Blue,,,,,,,#NUM!,,,,#NUM!
Miami,Berries,Ligustrum Berry Black,$2.85,,2025-12-02 13:15:36,,,Eryngium Magical Blue Lagoon Blue,,$1.65,,,,,$1.75,,,,$1.70
Miami,Berries,Pepperberry Hanging Pink,$1.25,,2025-12-26 11:06:54,,,Eucalyptus Assorted,,,#NUM!,,,,,,,,#NUM!
Miami,Branches,Fruiting Branches Blueberries Green,$3.48,,2026-02-11 11:49:46,,,Eucalyptus Baby Blue Blue,,,,,,,$1.02,,,,$1.02
Miami,Calla,Calla Lily Aethiopica White,$2.50,,2025-11-11 13:53:15,,,Eucalyptus Gunnii Green,,$0.85,,,,,,,,,$0.85
Miami,Calla,Calla Lily Mini Cranberry Burgundy 40cm,$2.50,,2026-02-11 11:49:46,,,Eucalyptus Parvifolia Green,$0.80,,,,,,$1.02,,,,$0.91
Miami,Calla,Calla Lily Mini Cranberry Burgundy 50cm,$2.25,,2026-02-17 12:10:27,,,Eucalyptus Seeded Green,,,,,,,$0.92,$1.05,,$0.85,$0.92
Miami,Calla,Calla Lily Mini Crystal Blush White,$2.25,,2026-02-10 14:06:02,,,Eucalyptus Silver Dollar,,,,,,,$0.92,,,,$0.92
Miami,Calla,Calla Lily Mini Naomi Purple,$2.50,,2026-02-17 12:11:03,,,Eucalyptus Silver Dollar Green,$0.80,,,$1.25,,,$0.92,,,,$0.92
Miami,Calla,Calla Lily Mini Schwarzwalder Black,$2.25,,2026-02-17 13:10:47,,,Eucalyptus Willow Green,,,,,,,$1.05,,,,$1.05
Miami,Calla,Calla Lily Mini White 50cm,$2.05,,2026-02-02 13:02:56,,,Fritillaria Meleagris Variegated Purple,,,,,,,$1.95,,,,$1.95
Miami,Calla,Calla Lily Mini White 50cm,$2.05,$1.95,2026-02-17 13:10:47,,,Fruiting Branches Blueberries Green,,,,,,,$3.48,,,,$3.48
Miami,Calla,Calla Lily Super White 80cm,$3.75,,2026-02-02 13:02:56,,,Fruiting Branches Olive Green,,,,,,,$1.05,,,,$1.05
Miami,Calla - Mini,Calla Lily Mini Burgundy,$2.25,,2025-12-23 9:14:40,,,Garland Gypsophila Xlence Natural White,,,,,,,$14.45,,,,$14.45
Miami,Calla - Mini,Calla Lily Mini Cranberry Burgundy,$2.50,,2025-11-25 13:54:10,,,Garland Gypsophila Xlence Natural White 10',,,,,,,,,,#NUM!,#NUM!
Miami,Calla - Mini,Calla Lily Mini Light Pink,$2.50,,2025-12-26 11:06:54,,,Garland Gypsophila Xlence White,,,,,,,$7.22,,,,$7.22
Miami,Calla - Mini,Calla Lily Mini Nightcap,$2.25,,2025-11-25 13:50:42,,,Garland Gypsophila Xlence White 5',,,,,,,$7.22,,,,$7.22
